;;Female Adults Held in Prisons, Penal Institutions or Correctional Institutions;;;;;;;;;;;;;;;;;;;;;;;;;;;
Definitions:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 “Persons Held in Prisons, Penal Institutions or Correctional Institutions” means persons held in Prisons, Penal Institutions or Correctional Institutions on a specified day and should exclude non-criminal prisoners held for administrative purposes, for example, persons held pending investigation into their immigration status or foreign citizens without a legal right to stay.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data supplied by countries ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
may not exactly reflect the definition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 provided by UNODC.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;hoi;;;;;;;;;;;;;;;;;;;;;
   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dowload full Dataset;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;;Rate per 100,000 female adults aged 18 or over;;;;;;;;;;;;
Region;Sub Region;Country;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Africa;Eastern Africa;Burundi;;;;237;241;257;288;329;432;146;363;375;;;;;;12.22;11.87;12.10;12.99;14.24;18.07;5.91;14.24;14.27;
Africa;Eastern Africa;Kenya*;;;;;;1,203;1,43;1,629;1,625;799;1,756;1,474;2,257;;;;;;;12.11;13.98;15.46;14.97;7.15;15.24;12.41;18.45
Africa;Eastern Africa;Madagascar;;;;;;;;692;817;834;793;812;866;;;;;;;;;13.04;14.88;14.68;13.49;13.34;13.74
Africa;Eastern Africa;Mauritius;125;124;141;126;120;117;137;132;156;147;;;;;28.96;28.51;32.14;28.49;26.87;25.89;29.95;28.52;33.25;30.94;;;
Africa;Eastern Africa;Mozambique;;485;577;613;470;642;807;;;;;;;;;9.09;10.56;11.01;8.26;11.03;13.55;;;;;;
Africa;Eastern Africa;Seychelles;7;10;5;10;12;16;;;;;;;;;23.66;32.83;16.01;31.73;37.76;49.91;;;;;;;
Africa;Eastern Africa;Uganda;813;701;707;751;714;1,07;1,168;1,296;1,272;1,351;1,634;1,848;;;13.74;11.46;11.18;11.49;10.55;15.27;16.08;17.21;16.28;16.66;19.41;21.14;
Africa;Eastern Africa;Zimbabwe;723;648;570;706;653;458;;;;;;;;;22.17;19.76;17.29;21.26;19.54;13.61;;;;;;;
Africa;Middle Africa;Cameroon*;;;375;;;399;467;488;493;515;548;554;;;;;8.39;;;8.18;9.29;9.42;9.25;9.38;9.70;9.53;
Africa;Northern Africa;Algeria;;;;600;895;971;;1,031;949;946;1,032;1,06;915;;;;;5.38;7.82;8.26;;8.35;7.53;7.36;7.87;7.94;6.74
Africa;Northern Africa;Morocco;;;393;602;1,545;1,734;1,399;1,721;;;;;;;;;4.02;6.03;15.17;16.68;13.20;15.94;;;;;
Africa;Southern Africa;Botswana*;;538;458;370;284;236;266;751;126;;88;71;;;;101.17;84.43;67.12;50.77;41.61;46.28;128.99;21.41;;14.61;11.65;
Africa;Southern Africa;Lesotho;;;;;70;70;70;;;;;;;;;;;;12.68;12.52;12.36;;;;;;
Africa;Southern Africa;Swaziland;62;54;104;102;;;;;;;;;;;21.89;18.84;35.74;34.28;;;;;;;;;
