;;Male Adults Held in Prisons, Penal Institutions or Correctional Institutions;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Definitions:;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; “Persons Held in Prisons, Penal Institutions or Correctional Institutions” means persons held in Prisons, Penal Institutions or Correctional Institutions on a specified day and should exclude non-criminal prisoners held for administrative purposes, for example, persons held pending investigation into their immigration status or foreign citizens without a legal right to stay.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;    ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Data supplied by countries ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;may not exactly reflect the definition;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; provided by UNODC.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dowload full Dataset;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;;Rate per 100,000 male adults aged 18 or over;;;;;;;;;;;;;
Region;Sub Region;Country;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;
Africa;Eastern Africa;Burundi;;;;7,621;7,641;9,194;10,172;9,148;9,608;5,947;7,202;6,993;;;;;;405.31;388.24;447.10;474.19;409.41;416.81;250.22;294.16;277.49;;
Africa;Eastern Africa;Kenya*;;;;;;27,646;26,630;29,457;29,691;23,980;29,712;29,394;30,478;;;;;;;283.51;265.06;284.77;278.71;218.53;262.79;252.33;253.97;
Africa;Eastern Africa;Madagascar;;;;;;;;17,223;17,275;17,769;18,483;18,956;19,024;;;;;;;;;331.91;321.98;320.18;321.84;318.86;309.04;
Africa;Eastern Africa;Mauritius;;2,376;2,350;2,060;2,102;2,027;2,187;2,264;2,485;2,533;;;;;;566.89;555.84;483.28;487.96;464.85;495.43;506.96;549.59;554.27;;;;
Africa;Eastern Africa;Mozambique;;13,303;15,143;15,564;15,349;22,429;29,482;;;;;;;;;285.91;316.50;317.76;305.34;434.09;555.00;;;;;;;
Africa;Eastern Africa;Uganda;;;18,341;18,474;18,465;27,385;30,005;29,934;30,749;33,861;37,934;40,482;;;;;292.90;285.02;274.95;393.23;415.25;399.09;395.10;419.17;452.30;464.83;;
Africa;Middle Africa;Cameroon;;;12,642;;;17,033;22,038;22,691;21,403;23,957;24,345;24,567;;;;;289.32;;;355.89;446.37;445.54;407.99;443.29;437.26;428.28;;
