;;Theft at the national level, number of police-recorded offences;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Definitions:;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;" ""Theft” means unlawfully taking or obtaining of property with the intent to permanently withhold it from a person or organization without consent and without the use of force, threat of force or violence, coercion or deception. “Theft” excludes ""Burglary"", ""Robbery"", and ""Theft of a Motorized Land Vehicle"", which are recorded separately.";;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;    ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Data supplied by countries ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;may not exactly reflect the definition;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; provided by UNODC.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Data interpretation;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;: When using the figures, any cross-national comparison should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, the different methods of offence counting and recording and differences in the share of criminal offences that are not reported to or detected by law enforcement authorities (i.e. the dark figure).;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dowload full Dataset;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;;;
Region;Sub Region;Country;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;
Africa;Eastern Africa;Burundi;;;;;;;;;;868;679;807;;;;;;;;;;;;8.57;6.49;7.46;;
Africa;Eastern Africa;Kenya;;12,778;12,200;10,255;10,404;11,012;11,972;11,986;13,797;14,111;11,455;10,042;9,528;;;37.10;34.51;28.26;27.93;28.79;30.49;29.72;33.31;33.17;26.22;22.38;20.69;
